grupo,nicho,termo,intencao_esperada,uso_provavel,prioridade_inicial,observacao
horizontal,,sistema de atendimento whatsapp,comercial,landing_page,A,categoria geral com alta relevancia para o produto
horizontal,,plataforma de atendimento whatsapp,comercial,landing_page,A,categoria geral com alta relevancia para o produto
horizontal,,whatsapp com multiplos atendentes,comercial,landing_page,A,dor central de equipe e multiatendimento
horizontal,,multiatendimento whatsapp,comercial,landing_page,A,dor central de equipe e multiatendimento
horizontal,,crm para whatsapp,comercial,landing_page,A,categoria proxima ao produto
horizontal,,crm whatsapp,comercial,landing_page,A,variacao curta para validar volume
horizontal,,sistema omnichannel whatsapp,comercial,landing_page,A,categoria mais tecnica
horizontal,,atendimento omnichannel whatsapp,comercial,landing_page,A,categoria mais tecnica
horizontal,,centralizar atendimento whatsapp,dor_comercial,landing_page_ou_blog,A,dor de centralizacao
horizontal,,organizar atendimento whatsapp,dor_comercial,landing_page_ou_blog,A,dor de organizacao
horizontal,,gestao de atendimento whatsapp,comercial,landing_page,A,dor de gestao e performance
horizontal,,controle de atendimento whatsapp,comercial,landing_page_ou_blog,A,dor de controle operacional
horizontal,,chatbot whatsapp para empresas,comercial,landing_page,B,pode competir com demanda de chatbot puro
horizontal,,automacao whatsapp para empresas,comercial,landing_page,B,pode competir com demanda de automacao pura
horizontal,,plataforma de atendimento ao cliente whatsapp,comercial,landing_page,B,variacao de categoria
horizontal,,sistema de atendimento ao cliente whatsapp,comercial,landing_page,B,variacao de categoria
nicho,Contabilidade,sistema de atendimento para contabilidade,comercial,landing_page,A,padrao principal por segmento
nicho,Contabilidade,sistema de whatsapp para contabilidade,comercial,landing_page,A,padrao principal por segmento
nicho,Contabilidade,whatsapp para contadores,comercial,landing_page,A,termo natural do publico
nicho,Contabilidade,whatsapp para escritorio contabil,comercial,landing_page,A,variacao natural do nicho
nicho,Contabilidade,crm whatsapp para contabilidade,comercial,landing_page,A,categoria aplicada ao nicho
nicho,Contabilidade,chatbot whatsapp para contabilidade,comercial,landing_page_ou_blog,A,categoria aplicada ao nicho
nicho,Contabilidade,automacao whatsapp para contabilidade,comercial,landing_page_ou_blog,A,dor de processos recorrentes
nicho,Contabilidade,atendimento whatsapp para contadores,comercial,landing_page,A,termo de atendimento aplicado ao nicho
nicho,Contabilidade,plataforma de atendimento para contabilidade,comercial,landing_page,A,categoria aplicada ao nicho
nicho,Contabilidade,sistema de atendimento para escritorio contabil,comercial,landing_page,A,variacao natural do nicho
nicho,Contabilidade,sistema de atendimento para escritório contábil,comercial,landing_page,A,variacao brasileira/accentuada validada na primeira coleta
nicho,Contabilidade,sistema de whatsapp para escritório contábil,comercial,landing_page,A,variacao brasileira/accentuada com sinais nichados
nicho,Contabilidade,whatsapp para escritórios contábeis,comercial,landing_page,A,variacao brasileira/accentuada com sinais nichados
nicho,Contabilidade,whatsapp para contadores brasil,comercial,landing_page,A,variacao brasileira para reduzir ruido internacional
nicho,Contabilidade,atendimento whatsapp escritório contábil,comercial,landing_page,A,variacao brasileira/accentuada com sinais nichados
nicho,Contabilidade,gestão de whatsapp para contadores,comercial,landing_page_ou_blog,A,termo de dor e gestao para contabilidade
nicho,Contabilidade,whatsapp contábil,comercial,landing_page_ou_blog,A,termo curto do nicho
nicho,Contabilidade,sistema de atendimento whatsapp para contabilidade,comercial,landing_page,A,variacao combinando categoria e nicho
nicho,Clinicas,sistema de atendimento para clinicas,comercial,landing_page,A,padrao principal por segmento
nicho,Clinicas,sistema de whatsapp para clinicas,comercial,landing_page,A,padrao principal por segmento
nicho,Clinicas,whatsapp para clinicas,comercial,landing_page,A,termo natural do publico
nicho,Clinicas,crm whatsapp para clinicas,comercial,landing_page,A,categoria aplicada ao nicho
nicho,Clinicas,chatbot whatsapp para clinicas,comercial,landing_page_ou_blog,A,categoria aplicada ao nicho
nicho,Clinicas,automacao whatsapp para clinicas,comercial,landing_page_ou_blog,A,dor de agendamentos e comunicacoes
nicho,Clinicas,atendimento whatsapp para clinicas,comercial,landing_page,A,termo de atendimento aplicado ao nicho
nicho,Clinicas,plataforma de atendimento para clinicas,comercial,landing_page,A,categoria aplicada ao nicho
nicho,Clinicas,sistema para atendimento de pacientes,comercial,landing_page_ou_blog,A,termo de dor especifica
nicho,Clinicas,whatsapp para atendimento de pacientes,comercial,landing_page_ou_blog,A,termo de dor especifica
nicho,Odontologia,sistema de atendimento para odontologia,comercial,landing_page,A,padrao principal por segmento
nicho,Odontologia,sistema de whatsapp para dentistas,comercial,landing_page,A,padrao principal por segmento
nicho,Odontologia,whatsapp para dentistas,comercial,landing_page,A,termo natural do publico
nicho,Odontologia,whatsapp para clinica odontologica,comercial,landing_page,A,variacao natural do nicho
nicho,Odontologia,crm whatsapp para dentistas,comercial,landing_page,A,categoria aplicada ao nicho
nicho,Odontologia,chatbot whatsapp para odontologia,comercial,landing_page_ou_blog,A,categoria aplicada ao nicho
nicho,Odontologia,automacao whatsapp para odontologia,comercial,landing_page_ou_blog,A,dor de agendamentos e comunicacoes
nicho,Odontologia,atendimento whatsapp para dentistas,comercial,landing_page,A,termo de atendimento aplicado ao nicho
nicho,Odontologia,plataforma de atendimento para odontologia,comercial,landing_page,A,categoria aplicada ao nicho
nicho,Odontologia,sistema para atendimento odontologico,comercial,landing_page_ou_blog,A,termo de dor especifica
nicho,Imobiliarias,sistema de atendimento para imobiliarias,comercial,landing_page,A,padrao principal por segmento
nicho,Imobiliarias,sistema de whatsapp para imobiliarias,comercial,landing_page,A,padrao principal por segmento
nicho,Imobiliarias,whatsapp para imobiliarias,comercial,landing_page,A,termo natural do publico
nicho,Imobiliarias,whatsapp para corretores,comercial,landing_page,A,termo natural do publico
nicho,Imobiliarias,crm whatsapp para imobiliarias,comercial,landing_page,A,categoria aplicada ao nicho
nicho,Imobiliarias,chatbot whatsapp para imobiliarias,comercial,landing_page_ou_blog,A,categoria aplicada ao nicho
nicho,Imobiliarias,automacao whatsapp para imobiliarias,comercial,landing_page_ou_blog,A,dor de follow-up e distribuicao
nicho,Imobiliarias,atendimento whatsapp para imobiliarias,comercial,landing_page,A,termo de atendimento aplicado ao nicho
nicho,Imobiliarias,plataforma de atendimento para imobiliarias,comercial,landing_page,A,categoria aplicada ao nicho
nicho,Imobiliarias,sistema para atendimento de leads imobiliarios,comercial,landing_page_ou_blog,A,termo de dor especifica
nicho,Oficinas mecanicas,sistema de atendimento para oficinas,comercial,landing_page,B,padrao principal por segmento
nicho,Oficinas mecanicas,sistema de whatsapp para oficinas,comercial,landing_page,B,padrao principal por segmento
nicho,Oficinas mecanicas,whatsapp para oficina mecanica,comercial,landing_page,B,termo natural do publico
nicho,Oficinas mecanicas,crm whatsapp para oficinas,comercial,landing_page,B,categoria aplicada ao nicho
nicho,Oficinas mecanicas,chatbot whatsapp para oficinas,comercial,landing_page_ou_blog,B,categoria aplicada ao nicho
