rank,grupo,nicho,termo,uso_recomendado,score_total_30,demanda_serp_1a5,intencao_comercial_1a5,fit_produto_1a5,fit_comercial_1a5,oportunidade_serp_1a5,especificidade_1a5,classe,decisao_mvp,justificativa
1,nicho,Contabilidade,"sistema de whatsapp para escritório contábil",landing_page,28,5,5,5,5,4,4,A,incluir,"SERP traz Whats Contabil, Zappy Contabil, Integgri, Zap Contabil e Nibo; termo especifico, comercial e alinhado com a base atual de contabilidade"
2,nicho,Contabilidade,"atendimento whatsapp escritório contábil",landing_page,27,5,5,5,5,4,3,A,incluir,"SERP traz concorrentes nichados e conteudos de WhatsApp contabil; bom para uma pagina focada em organizar atendimento do escritorio"
3,nicho,Contabilidade,"whatsapp para escritórios contábeis",landing_page,26,5,4,5,5,4,3,A,incluir,"Termo brasileiro e especifico; aparece Zap Contabil, Integgri, Nibo, Zappy e SocialHub"
4,nicho,Contabilidade,"sistema de whatsapp para contabilidade",landing_page,26,5,5,5,5,3,3,A,incluir,"Termo comercial com concorrentes nichados, mas menos preciso que 'escritorio contabil'"
5,horizontal,,"whatsapp com multiplos atendentes",landing_page,25,5,5,5,4,3,3,A,incluir,"Dor horizontal muito alinhada ao produto; SERP tem WhatsApp Help Center e plataformas, bom para explicar multiatendimento"
6,horizontal,,"centralizar atendimento whatsapp",blog_ou_landing_de_dor,25,4,4,5,4,4,4,A,incluir,"Termo de dor com SERP mista; bom para blog forte ou pagina de dor conectada a uma landing de conversao"
7,horizontal,,"organizar atendimento whatsapp",blog_ou_landing_de_dor,25,4,4,5,4,4,4,A,incluir,"Termo de dor muito proximo das dores reais do produto; aparece conteudo educacional e Zappy Contabil"
8,nicho,Contabilidade,"atendimento whatsapp para contadores",landing_page_ou_blog,24,4,4,5,5,3,3,A,incluir,"Traz Maxbot, Integgri, SocialHub e Nibo; bom como apoio a pagina principal de contabilidade"
9,horizontal,,"controle de atendimento whatsapp",blog_ou_landing_de_dor,24,4,4,5,4,3,4,A,incluir,"Termo de gestao com concorrentes fortes, mas dor muito alinhada com performance e controle da equipe"
10,horizontal,,"gestao de atendimento whatsapp",landing_page_ou_blog,24,4,4,5,4,3,4,A,incluir,"Liga diretamente a relatorios, dashboards e gestao de performance, uma dor citada por Victor"
11,horizontal,,"multiatendimento whatsapp",landing_page,23,5,5,5,4,2,2,A,incluir,"Termo comercial validado, mas SERP tem concorrencia horizontal direta e baixa especificidade"
12,horizontal,,"sistema de atendimento whatsapp",landing_page_horizontal,23,5,5,5,4,2,2,A,incluir,"Termo horizontal principal; precisa existir no MVP, mas deve ser tratado como pagina competitiva de longo prazo"
13,horizontal,,"plataforma de atendimento whatsapp",landing_page_horizontal,22,5,5,5,4,2,1,A,incluir,"Termo comercial forte, porem muito generico e disputado por players horizontais"
14,nicho,Contabilidade,"chatbot whatsapp para contabilidade",blog_ou_secao,22,4,4,4,5,3,2,B,apoiar,"Bom para conteudo/FAQ/secao, mas nao deve ser a pagina principal porque restringe demais a solucao a chatbot"
15,nicho,Contabilidade,"automacao whatsapp para contabilidade",blog_ou_secao,22,4,4,4,5,3,2,B,apoiar,"Bom para blog ou bloco de automacao na vertical contabilidade; menos central que atendimento/multiusuario"
16,nicho,Contabilidade,"crm whatsapp para contabilidade",blog_ou_landing_secundaria,21,4,4,3,5,3,2,B,apoiar,"Ha SERP comercial, mas CRM pode desviar o posicionamento do Ideia Multi Chat se usado como promessa central"
17,nicho,Contabilidade,"sistema de atendimento para contabilidade",blog_ou_comparativo,20,4,4,4,5,1,2,B,apoiar,"SERP mistura ERP/sistema contabil com atendimento; melhor usar como apoio ou ajustar linguagem"
18,horizontal,,"crm para whatsapp",blog_ou_landing_secundaria,20,5,5,3,3,2,2,B,apoiar,"Volume/intencao provavel alta, mas SERP e posicionamento puxam para CRM e vendas, nao atendimento operacional"
19,horizontal,,"crm whatsapp",blog_ou_landing_secundaria,19,5,4,3,3,2,2,B,apoiar,"Termo forte, mas mais distante da promessa central de atendimento organizado"
20,horizontal,,"atendimento omnichannel whatsapp",conteudo_educacional,18,3,3,4,3,3,2,C,adiar,"Pode ser relevante, mas o MVP deve evitar disputar omnichannel amplo antes de consolidar WhatsApp e nichos"
21,horizontal,,"sistema omnichannel whatsapp",conteudo_educacional,17,3,3,4,3,2,2,C,adiar,"SERP internacional/ruidosa; nao e prioridade para provar o MVP"
22,nicho,Contabilidade,"whatsapp para contadores brasil",blog_ou_faq,17,3,3,4,5,1,1,C,adiar,"Traz sinais de contabilidade, mas termo e menos natural e SERP mistura resultados"
23,nicho,Contabilidade,"whatsapp para contadores",evitar_como_pagina_principal,15,3,2,4,5,1,0,C,nao_incluir,"SERP ruidosa com redes sociais e resultados em espanhol; nao deve guiar a pagina principal"
24,nicho,Contabilidade,"whatsapp para escritorio contabil",evitar_sem_acento,14,2,2,4,5,0,1,C,nao_incluir,"Sem acento gerou ruido com WhatsApp Desktop e resultados em espanhol; usar variacao acentuada/brasileira"
25,nicho,Contabilidade,"sistema de atendimento para escritório contábil",apoiar_com_cuidado,18,3,4,4,5,1,1,C,adiar,"Mesmo acentuado, mistura sistemas contabeis e ERP; usar apenas se a pagina deixar claro que e atendimento via WhatsApp"
