rank,nicho,termo,uso_recomendado,score_total_30,demanda_serp_1a5,intencao_comercial_1a5,fit_produto_1a5,fit_comercial_1a5,oportunidade_serp_1a5,especificidade_1a5,classe,decisao_mvp,justificativa
1,Contabilidade,"sistema de whatsapp para escritório contábil",landing_page,28,5,5,5,5,4,4,A,incluir,"SERP nichada e fit comercial confirmado; melhor termo contabil coletado"
2,Contabilidade,"atendimento whatsapp escritório contábil",landing_page,27,5,5,5,5,4,3,A,incluir,"SERP nichada e dor direta de atendimento organizado"
3,Imobiliarias,"atendimento whatsapp para imobiliarias",landing_page,27,5,5,5,3,5,4,A,incluir,"Top resultados trazem ChatImob e Universal Software; termo direto para dor de atendimento via WhatsApp"
4,Imobiliarias,"automacao whatsapp para imobiliarias",landing_page_ou_blog,26,5,5,5,3,5,3,A,incluir,"Top resultados trazem Universal Software e Zimobi; forte aderencia a automacao e operacao imobiliaria"
5,Contabilidade,"whatsapp para escritórios contábeis",landing_page,26,5,4,5,5,4,3,A,incluir,"Termo especifico; aparece Zap Contabil, Integgri, Nibo, Zappy e SocialHub"
6,Contabilidade,"sistema de whatsapp para contabilidade",landing_page,26,5,5,5,5,3,3,A,incluir,"Termo comercial com concorrentes nichados"
7,Imobiliarias,"sistema de atendimento para imobiliarias",landing_page,24,4,4,5,3,4,4,A,incluir,"Top resultados de pre-atendimento e gestao imobiliaria; boa ponte para leads e distribuicao"
8,Imobiliarias,"sistema para atendimento de leads imobiliarios",landing_page_ou_blog,24,4,4,5,3,4,4,A,incluir,"SERP mostra softwares de gestao de leads; dor muito alinhada com resposta rapida e follow-up"
9,Clinicas,"atendimento whatsapp para clinicas",landing_page_ou_blog,24,4,4,5,3,4,4,A,testar,"Top resultados relevantes como Poli Digital e Responda-me; bom termo se recortar atendimento via WhatsApp"
10,Clinicas,"automacao whatsapp para clinicas",blog_ou_landing,23,4,4,5,3,4,3,A,testar,"Amplimed e Poli aparecem; bom para automacao/agendamento, mas com concorrencia de software medico"
11,Odontologia,"automacao whatsapp para odontologia",blog_ou_landing,23,4,4,4,3,5,3,A,testar,"Beeia e Simples Dental aparecem; bom sinal, mas odontologia puxa software odontologico"
12,Clinicas,"whatsapp para atendimento de pacientes",blog,22,4,3,5,3,4,3,B,apoiar,"Bom termo de dor; mais informacional e de atendimento/agenda de pacientes"
13,Odontologia,"atendimento whatsapp para dentistas",blog_ou_landing,22,4,3,4,3,5,3,B,apoiar,"Aparecem Secretaria IA e Dental Speed; demanda existe, mas como subcluster de saude"
14,Imobiliarias,"sistema de whatsapp para imobiliarias",blog_ou_landing,22,4,4,5,3,3,3,B,apoiar,"Tem sinal, mas top resultados incluem espanhol/internacional"
15,Imobiliarias,"crm whatsapp para imobiliarias",blog_ou_landing,21,4,4,4,3,3,3,B,apoiar,"Demanda de CRM/WhatsApp, mas pode desviar para CRM imobiliario"
16,Clinicas,"chatbot whatsapp para clinicas",blog_ou_secao,21,4,3,4,3,4,3,B,apoiar,"Demanda real, mas foco em chatbot pode restringir a proposta"
17,Imobiliarias,"chatbot whatsapp para imobiliarias",blog_ou_secao,21,4,3,4,3,4,3,B,apoiar,"Aparece Wazzy/IA, mas com ruido internacional"
18,Odontologia,"whatsapp para clinica odontologica",blog_ou_landing,20,3,3,4,3,4,3,B,apoiar,"Sinal existe, mas com forte presenca de resultados em espanhol"
19,Clinicas,"sistema de whatsapp para clinicas",apoiar_com_cuidado,20,3,3,5,3,3,3,B,apoiar,"Traz resultado relevante, mas muito ruido internacional e YouTube"
20,Imobiliarias,"whatsapp para corretores",blog,20,3,3,5,3,3,3,B,apoiar,"Intencao boa, mas SERP inicial trouxe muito YouTube"
21,Imobiliarias,"whatsapp para imobiliarias",evitar_sem_refino,19,3,3,5,3,3,2,C,adiar,"Muito ruido em espanhol/YouTube; testar variacoes brasileiras com acento"
22,Odontologia,"whatsapp para dentistas",evitar_como_principal,19,3,3,4,3,3,3,C,adiar,"Demanda existe, mas SERP internacional; melhor recortar automacao/atendimento"
23,Clinicas,"sistema de atendimento para clinicas",evitar_como_principal,18,3,3,4,3,2,3,C,adiar,"Puxa software medico/gestao de clinica, nao exatamente atendimento WhatsApp"
24,Odontologia,"sistema de atendimento para odontologia",evitar_como_principal,17,3,3,3,3,2,3,C,adiar,"Puxa software odontologico e gestao, nao atendimento WhatsApp"
25,Odontologia,"plataforma de atendimento para odontologia",evitar_como_principal,17,3,3,3,3,2,3,C,adiar,"Puxa software odontologico/saude; usar so se recortar WhatsApp"
