ordem,pagina,termo_alvo,tipo,cluster,uso,prioridade,justificativa,resumo_copy
1,Sistema de WhatsApp para Escritorio Contabil,sistema de whatsapp para escritório contábil,landing_vertical,contabilidade,pagina_principal,A,"Melhor termo contabil; SERP com Whats Contabil, Zappy Contabil, Integgri, Zap Contabil e Nibo","Centralizar clientes, documentos, demandas e setores do escritorio em um unico atendimento profissional via WhatsApp"
2,Atendimento WhatsApp para Escritorio Contabil,atendimento whatsapp escritório contábil,landing_vertical,contabilidade,pagina_secundaria,A,"Segundo melhor termo contabil; dor direta de atendimento organizado","Parar de perder mensagens, organizar demandas por setor e dar visibilidade para socios/gestores"
3,WhatsApp para Escritorios Contabeis,whatsapp para escritórios contábeis,landing_vertical,contabilidade,pagina_secundaria,A,"Termo brasileiro e especifico; aparece Zap Contabil, Integgri, Nibo, Zappy e SocialHub","Transformar o WhatsApp do escritorio em canal profissional de atendimento e relacionamento"
4,Sistema de WhatsApp para Contabilidade,sistema de whatsapp para contabilidade,landing_vertical,contabilidade,pagina_secundaria,A,"Termo comercial forte com concorrentes nichados","Organizar atendimento, automacoes, tags, setores e metricas no contexto contabil"
5,Atendimento WhatsApp para Imobiliarias,atendimento whatsapp para imobiliarias,landing_vertical,imobiliarias,pagina_teste,A,"Melhor termo imobiliario; SERP com ChatImob e Universal Software","Responder leads mais rapido, distribuir atendimento entre corretores e acompanhar oportunidades"
6,Automacao WhatsApp para Imobiliarias,automacao whatsapp para imobiliarias,landing_ou_blog,imobiliarias,pagina_teste,A,"Forte aderencia a follow-up, leads e atendimento recorrente; SERP com Universal Software e Zimobi","Automatizar primeiro contato, follow-up de interessados, lembretes e recuperacao de leads"
7,Sistema de Atendimento WhatsApp,sistema de atendimento whatsapp,landing_horizontal,horizontal,pagina_guarda_chuva,A,"Termo horizontal principal; SERP com ChatPro, UnderChat, Total Chat, ZapSAC e Letalk","Profissionalizar atendimento no WhatsApp com equipe, historico, tags, automacao e metricas"
8,WhatsApp com Multiplos Atendentes,whatsapp com multiplos atendentes,landing_funcionalidade,horizontal,pagina_funcionalidade,A,"Dor horizontal muito alinhada ao produto; SERP com WhatsApp Help Center, Total Chat e UnderChat","Varios atendentes usando um canal organizado, sem conversas perdidas e com gestao da equipe"
9,Como Organizar Atendimento pelo WhatsApp,organizar atendimento whatsapp,blog_autoridade,dor,blog,A,"Termo de dor alinhado com profissionalizacao e atendimento organizado","Mostrar sintomas de atendimento baguncado e caminho para profissionalizar a operacao"
10,Como Centralizar Atendimento no WhatsApp,centralizar atendimento whatsapp,blog_autoridade,dor,blog,A,"Termo de dor com potencial de conteudo e linkagem interna","Centralizar equipes, setores, historico e metricas em um unico fluxo de atendimento"
